Código Producto Padre,Código Producto MP,Cantidad MP,Activo?,Detiene Explotación?,Código Ubicación,Código Presentación,Cantidad Presentación
PR2022020,MR0522011,6.3,SI,,,,
PR2022020,MR0501012,9.5,SI,,,,
SUBR045231,MR0501019,1,SI,,,,
SUBR045233,MR0302065,1,SI,,,,
SUBR045233,PP01260401,1,SI,,,,
SUBR045233,MR0304006,3.5,SI,,,,
SUBR045238,MR1001001,80,SI,,,,
SUBR045238,PL20260407,0.35,SI,,,,
SUBR045238,MR0502008,0.35,SI,,,,
SUBR045238,MR0704022,0.35,SI,,,,
SUBR045239,MR0501008,4.4,SI,,,,
SUBR045239,MR0301004,2,SI,,,,
SUBR045239,MR0304006,0.1,SI,,,,
SUBR045239,MR0522028,0.02,SI,,,,
SUBR045240,PL20260322,0.15,SI,,,,
SUBR045240,SUBR045239,0.02,SI,,,,
SUBR045240,SUBR045230,0.2,SI,,,,
SUBR045241,MR0502014,17.63,SI,,,,
SUBR045241,MR0501004,2,SI,,,,
SUBR045241,MR0305033,0.2,SI,,,,
SUBR045241,MR01260305,0.1,SI,,,,
SUBR045241,MR0502005,0.5,SI,,,,
SUBR045241,MR0501008,0.5,SI,,,,
SUBR045241,MR0304006,0.1,SI,,,,
SUBR045242,MR0501034,2,SI,,,,
SUBR045242,MR0501033,2,SI,,,,
SUBR045242,PL20260402,0.07,SI,,,,
SUBR045244,MR0602001,8.85,SI,,,,
SUBR045244,MR0303002,1.75,SI,,,,
SUBR045244,MR0322012,0.45,SI,,,,
SUBR045244,MR0304006,0.1,SI,,,,
SUBR045244,MR0101001,4,SI,,,,
SUBR045244,MR0702002,10.15,SI,,,,
SUBR045244,MP0301017,0.35,SI,,,,
SUBR045244,MR0701002,2.15,SI,,,,
SUBR045245,MR0501038,5,SI,,,,
SUBR045245,PL20260402,0.5,SI,,,,
